user,item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10,item_11,item_12,item_13,item_14,item_15,item_16,item_17,item_18,item_19,item_20
user_1,,5,,,7,,6,,,,,,,,5,8,4,,3,
user_2,,6,,2,,,5,3,,,9,,,,4,7,,,,
user_3,,,8,8,,3,,,,,4,9,3,8,6,,,,8,
user_4,7,,4,,,,,8,,8,5,,8,,,,,2,6,
user_5,,,,7,4,,,,,,,7,,,4,,,6,,8
user_6,,,,,8,4,,,,5,,5,,7,4,8,4,,,4
user_7,,,,8,,,,7,,,,,4,5,5,,,4,4,
user_8,,,,,,,,,5,,,,,,,,,5,,8
user_9,,6,,,8,10,,8,,,,3,,,,,,,,
user_10,,7,,,8,8,8,,,,,1,,,,5,,6,,
user_11,,7,,,,,,7,,,10,3,,,4,,6,,2,7
user_12,,,,,,,,6,,,,2,,,,,,,3,
user_13,,4,,8,,4,,4,4,6,,9,,,5,,,5,6,5
user_14,,,,7,,,5,6,4,,,,8,,,,5,,,
user_15,,6,,,,10,,5,,,,,7,5,,,,,,6
user_16,,5,4,6,,,2,,7,,,7,,,,,5,,,10
user_17,3,8,,,5,,,5,,,3,4,7,,,,,,9,
user_18,,,,8,,,,,,6,,,,8,4,,,6,,
user_19,,,,7,,,,8,,,,,,,,,,,,
user_20,,8,,,,6,4,10,,9,5,,6,,,,,2,,6
user_21,,4,,,8,,4,,4,,3,,,6,,3,,,6,
user_22,,7,,2,6,,,2,,6,,5,,,,8,,,,
user_23,,,,8,,5,2,,,,,,,,3,,,,5,9
user_24,4,,4,,7,10,4,,,,6,7,,,,9,,4,,2
user_25,,,,,,5,,,,,,,,,,,,4,,
user_26,,,,,,,,,,,7,,,8,9,,,5,10,
user_27,,,,5,1,,,,,3,,3,,,,3,,,4,3
user_28,,,,5,2,,,9,,,5,,7,8,3,,7,,,6
user_29,,,,,,,,7,6,,,,4,4,4,,,,,
user_30,,,,3,,,,,4,3,,,,4,,,,,4,
user_31,9,5,6,3,,,,,4,5,,,,5,5,,,9,4,3
user_32,,,4,,,,,10,,9,6,6,7,,3,4,,,7,
user_33,3,,,7,,,8,,,9,,,4,,,,5,,,6
user_34,,,8,,,,,,,,9,,,,3,,5,,,
user_35,,,,,,,,,,,1,,3,,,,,,3,
user_36,4,,4,,7,,,2,,,,5,,,,9,,3,,
user_37,,,2,,3,,,8,,,6,4,,7,,,,,,
user_38,,9,,,,,,5,,10,,,,2,,,9,,,6
user_39,4,,4,,10,,7,,4,,9,2,8,,10,4,,7,5,
user_40,3,7,,5,5,7,,4,,,,4,7,,,,,5,,
user_41,,,,,9,,,,,,8,,,,,,,,,
user_42,,,,,3,4,10,,,,,,,,,8,,,7,8
user_43,,,3,3,6,,,,,7,,6,,,,,,,,2
user_44,,,,,,2,,,4,,,,6,,,3,6,6,,
user_45,8,,,,,8,,9,,,,2,,,4,5,3,9,,
user_46,,,5,,1,,,,,,1,,2,,,,,,,5
user_47,7,,2,7,6,,6,7,,,,,,,,,,,2,6
user_48,,,,,,,8,,,,4,,,9,7,,5,8,,
user_49,2,,,,,,8,9,,,,,,,7,,,,,8
user_50,,7,,8,,10,,,5,,,,7,7,,,,,,
user_51,,,,6,4,,,4,,,,,,,,,7,,9,6
user_52,,9,8,,,,,,7,,,,,,,6,,,,
user_53,,,,,3,,2,,,4,,8,,4,4,,,,,8
user_54,,,3,3,,8,,3,,,,,,,,7,7,,9,
user_55,,,,,7,,,4,,,7,,4,9,,8,5,,,1
user_56,,,8,3,,,6,3,8,6,,5,,,3,8,,8,2,
user_57,,,,,,2,,4,,,,,,,4,,4,5,,
user_58,,,2,8,,,5,,3,,8,3,,7,,5,,,3,
user_59,,,,6,3,8,,,,,,5,,,,5,,6,,
user_60,,,,,,,,,,9,5,,,8,3,4,,,,
user_61,,,4,3,,,2,,7,6,,,,9,,,5,,,
user_62,,,8,,7,,,,7,,,4,,8,4,,,,,6
user_63,,,,,,,6,,,,,,,,,,7,6,5,
user_64,,6,,,6,9,4,,3,3,,2,,7,,,6,,2,6
user_65,,,,,,,3,,,,2,,,,,6,9,,,6
user_66,,,,,7,9,,,8,,,,4,,,,,5,,1
user_67,8,,,,,6,,,,5,9,3,,9,,,,8,,
user_68,9,5,,,,,,9,3,4,,,3,4,5,4,2,9,,
user_69,,,8,9,6,,3,,,,,,4,,,1,6,6,,
user_70,,,8,,7,,4,3,,,,,,,3,,,,,5
user_71,,9,,4,,,,,7,,,5,,,,4,,,,
user_72,,7,,,6,,,,,3,9,,,,3,,4,,4,
user_73,,,,,,,3,,8,9,,,,,5,5,,5,,
user_74,,,,1,,4,,4,,6,9,,,7,4,,4,9,,
user_75,,,,,,,5,,,,,3,,,,5,,,3,7
user_76,5,,,5,,9,,,,,,,8,,,,5,,,4
user_77,,,8,,,,8,,,8,,,,8,,,,7,,
user_78,,6,,5,8,,7,8,2,4,,,,,,,7,,,5
user_79,,4,,,,3,3,,,8,,8,,,4,,,7,,
user_80,,7,,,4,,,,6,,,,5,,,,,,,
user_81,,,,,2,,,,,,3,,,,6,7,,,7,7
user_82,,8,,,6,,3,4,,,,,,,,,,,10,1
user_83,,,,4,,,,8,,,,4,,4,,4,,,,
user_84,8,,,4,,,,,6,9,,5,,,,,8,,,5
user_85,,6,8,9,,,3,2,3,8,,,,,3,,,,,
user_86,,,5,,,,7,9,3,,,,,,9,4,,,,
user_87,6,8,,,,,,,3,,,,,,,4,7,,,
user_88,,4,,5,1,,,10,3,,1,,,5,,,,,3,
user_89,,,,,3,4,8,9,,,,,5,,,,,,,8
user_90,4,7,,,,,8,,,,,,,,8,,,7,3,
user_91,,,,,,,,4,7,,1,,5,,,,9,5,,7
user_92,,10,,,,6,3,,,,6,4,,9,,3,8,2,,
user_93,8,,,,4,6,2,,,,,,7,,,3,,,8,
user_94,,,,8,,,,,,,3,8,5,,,,,,7,
user_95,2,,,5,,,,5,,,,,,3,4,,,,,6
user_96,,,,1,,4,4,,,,,,,8,,,5,,,
user_97,,6,,,,,,,,6,2,7,,,,,4,,4,
user_98,3,,7,,,,10,,5,,,7,,,,7,,,,7
user_99,3,,,,,3,3,,,8,,,5,,3,,,5,,
user_100,,6,,,,7,,,,3,,2,4,,,4,,,,
